Name,Total,HP,Attack,Defence,Sp_attack,Sp_defence,Speed,Description
Talonflame,499,78,81,71,74,69,126,
Scatterbug,200,38,35,40,27,25,35,
Spewpa,213,45,22,60,27,30,29,
Vivillon,411,80,52,50,90,50,89,
Litleo,369,62,50,58,73,54,72,
Pyroar,507,86,68,72,109,66,106,
Flabébé,303,44,38,39,61,79,42,
Floette,371,54,45,47,75,98,52,
Florges,552,78,65,68,112,154,75,
Skiddo,350,66,65,48,62,57,52,
Gogoat,531,123,100,62,97,81,68,
Pancham,348,67,82,62,46,48,43,
Pangoro,495,95,124,78,69,71,58,
Furfrou,472,75,80,60,65,90,102,
Espurr,355,62,48,54,63,60,68,
Meowstic,466,74,48,76,83,81,104,
Mega Meowstic,466,74,48,76,83,81,104,
Honedge,325,45,80,100,35,37,28,
Doublade,448,59,110,150,45,49,35,
Aegislash,500,60,50,140,50,140,60,
Mega Aegislash,500,60,140,50,140,50,60,
Spritzee,341,78,52,60,63,65,23,
Aromatisse,462,101,72,72,99,89,29,
Swirlix,341,62,48,66,59,57,49,
Slurpuff,480,82,80,86,85,75,72,
Inkay,288,53,54,53,37,46,45,
Malamar,482,86,92,88,68,75,73,
Binacle,306,42,52,67,39,56,50,
Barbaracle,500,72,105,115,54,86,68,
Skrelp,320,50,60,60,60,60,30,
Dragalge,494,65,75,90,97,123,44,
Clauncher,330,50,53,62,58,63,44,
Clawitzer,500,71,73,88,120,89,59,
Helioptile,289,44,38,33,61,43,70,
Heliolisk,481,62,55,52,109,94,109,
Tyrunt,362,58,89,77,45,45,48,
Tyrantrum,521,82,121,119,69,59,71,
Amaura,362,77,59,50,67,63,46,
Aurorus,521,123,77,72,99,92,58,
Sylveon,525,95,65,65,110,130,60,
Hawlucha,500,78,92,75,74,63,118,
Dedenne,431,67,58,57,81,67,101,
Carbink,500,50,50,150,50,150,50,
Goomy,300,45,50,35,55,75,40,
Sliggoo,452,68,75,53,83,113,60,
Goodra,600,90,100,70,110,150,80,
Klefki,470,57,80,91,80,87,75,
Phantump,309,43,70,48,50,60,38,
Trevenant,474,85,110,76,65,82,56,
Pumpkaboo,335,49,66,70,44,55,51,
Mega Pumpkaboo,335,44,66,70,44,55,56,
Mega Pumpkaboo X,335,54,66,70,44,55,46,
Mega Pumpkaboo X,335,59,66,70,44,55,41,
Gourgeist,494,65,90,122,58,75,84,
Mega Gourgeist,494,55,85,122,58,75,99,
Mega Gourgeist X,494,75,95,122,58,75,69,
Mega Gourgeist X,494,85,100,122,58,75,54,
Bergmite,304,55,69,85,32,35,28,
Avalugg,514,95,117,184,44,46,28,
Noibat,245,40,30,35,45,40,55,
Noivern,535,85,70,80,97,80,123,
Xerneas,680,126,131,95,131,98,99,
Yveltal,680,126,131,95,131,98,99,
Zygarde,600,108,100,121,81,95,95,
Mega Zygarde,486,54,100,71,61,85,115,
Mega Zygarde X,708,216,100,121,91,95,85,
Diancie,600,50,100,150,100,150,50,
Mega Diancie,700,50,160,110,160,110,110,
Hoopa,600,80,110,60,150,130,70,
Mega Hoopa,680,80,160,60,170,130,80,
Volcanion,600,80,110,120,130,90,70,
Rowlet,320,68,55,55,50,50,42,
Dartrix,420,78,75,75,70,70,52,
Decidueye,530,78,107,75,100,100,70,
Litten,320,45,65,40,60,40,70,
Torracat,420,65,85,50,80,50,90,
Incineroar,530,95,115,90,80,90,60,
Popplio,320,50,54,54,66,56,40,
Brionne,420,60,69,69,91,81,50,
Primarina,530,80,74,74,126,116,60,
Pikipek,265,35,75,30,30,30,65,
Trumbeak,355,55,85,50,40,50,75,
Toucannon,485,80,120,75,75,75,60,
Yungoos,253,48,70,30,30,30,45,
Gumshoos,418,88,110,60,55,60,45,
Grubbin,300,47,62,45,55,45,46,
Charjabug,400,57,82,95,55,75,36,
Vikavolt,500,77,70,90,145,75,43,
Crabrawler,338,47,82,57,42,47,63,
Crabominable,478,97,132,77,62,67,43,
Oricorio,476,75,70,70,98,70,93,
Mega Oricorio,476,75,70,70,98,70,93,
Mega Oricorio X,476,75,70,70,98,70,93,
Mega Oricorio X,476,75,70,70,98,70,93,
Cutiefly,304,40,45,40,55,40,84,
Ribombee,464,60,55,60,95,70,124,
Rockruff,280,45,65,40,30,40,60,
Mega Rockruff,280,45,65,40,30,40,60,
Lycanroc,487,75,115,65,55,65,112,
Mega Lycanroc,487,85,115,75,55,75,82,
Mega Lycanroc X,487,75,117,65,55,65,110,
Wishiwashi,175,45,20,20,25,25,40,
Mega Wishiwashi,620,45,140,130,140,135,30,
Mareanie,305,50,53,62,43,52,45,
Toxapex,495,50,63,152,53,142,35,
Mudbray,385,70,100,70,45,55,45,
Mudsdale,500,100,125,100,55,85,35,
Dewpider,269,38,40,52,40,72,27,
Araquanid,454,68,70,92,50,132,42,
Fomantis,250,40,55,35,50,35,35,
Lurantis,480,70,105,90,80,90,45,
Morelull,285,40,35,55,65,75,15,
Shiinotic,405,60,45,80,90,100,30,
Salandit,320,48,44,40,71,40,77,
Salazzle,480,68,64,60,111,60,117,
Stufful,340,70,75,50,45,50,50,
Bewear,500,120,125,80,55,60,60,
Bounsweet,210,42,30,38,30,38,32,
Steenee,290,52,40,48,40,48,62,
Tsareena,510,72,120,98,50,98,72,
Comfey,485,51,52,90,82,110,100,
Oranguru,490,90,60,80,90,110,60,
Passimian,490,100,120,90,40,60,80,
Wimpod,230,25,35,40,20,30,80,
Golisopod,530,75,125,140,60,90,40,
Sandygast,320,55,55,80,70,45,15,
Palossand,480,85,75,110,100,75,35,
Pyukumuku,410,55,60,130,30,130,5,
Type: Null,534,95,95,95,95,95,59,
Silvally,570,95,95,95,95,95,95,
Minior,440,60,60,100,60,100,60,
Mega Minior,500,60,100,60,100,60,120,
Komala,480,65,115,65,75,95,65,
Turtonator,485,60,78,135,91,85,36,
Togedemaru,435,65,98,63,40,73,96,
Mimikyu,476,55,90,80,50,105,96,
Bruxish,475,68,105,70,70,70,92,
Drampa,485,78,60,85,135,91,36,
Dhelmise,517,70,131,100,86,90,40,
Jangmo-o,300,45,55,65,45,45,45,
Hakamo-o,420,55,75,90,65,70,65,
Kommo-o,600,75,110,125,100,105,85,
Tapu Koko,570,70,115,85,95,75,130,
Tapu Lele,570,70,85,75,130,115,95,
Tapu Bulu,570,70,130,115,85,95,75,
Tapu Fini,570,70,75,115,95,130,85,
Cosmog,200,43,29,31,29,31,37,
Cosmoem,400,43,29,131,29,131,37,
Solgaleo,680,137,137,107,113,89,97,
Lunala,680,137,113,89,137,107,97,
Nihilego,570,109,53,47,127,131,103,
Buzzwole,570,107,139,139,53,53,79,
Pheromosa,570,71,137,37,137,37,151,
Xurkitree,570,83,89,71,173,71,83,
Celesteela,570,97,101,103,107,101,61,
Kartana,570,59,181,131,59,31,109,
Guzzlord,570,223,101,53,97,53,43,
Necrozma,600,97,107,101,127,89,79,
Mega Necrozma,680,97,157,127,113,109,77,
Mega Necrozma X,680,97,113,109,157,127,77,
Mega Necrozma X,754,97,167,97,167,97,129,
Magearna,600,80,95,115,130,115,65,
Marshadow,600,90,125,80,90,90,125,
Poipole,420,67,73,67,73,67,73,
Naganadel,540,73,73,73,127,73,121,
Stakataka,570,61,131,211,53,101,13,
Blacephalon,570,53,127,53,151,79,107,
Zeraora,600,88,112,75,102,80,143,
Meltan,300,46,65,65,55,35,34,
Melmetal,600,135,143,143,80,65,34,
Grookey,310,50,65,50,40,40,65,
Thwackey,420,70,85,70,55,60,80,
Rillaboom,530,100,125,90,60,70,85,
Scorbunny,310,50,71,40,40,40,69,
Raboot,420,65,86,60,55,60,94,
Cinderace,530,80,116,75,65,75,119,
Sobble,310,50,40,40,70,40,70,
Drizzile,420,65,60,55,95,55,90,
Inteleon,530,70,85,65,125,65,120,
Skwovet,275,70,55,55,35,35,25,
Greedent,460,120,95,95,55,75,20,
Rookidee,245,38,47,35,33,35,57,
Corvisquire,365,68,67,55,43,55,77,
Corviknight,495,98,87,105,53,85,67,
Blipbug,180,25,20,20,25,45,45,
Dottler,335,50,35,80,50,90,30,
Orbeetle,505,60,45,110,80,120,90,
Nickit,245,40,28,28,47,52,50,
Thievul,455,70,58,58,87,92,90,
Gossifleur,250,40,40,60,40,60,10,
Eldegoss,460,60,50,90,80,120,60,
Wooloo,270,42,40,55,40,45,48,
Dubwool,490,72,80,100,60,90,88,
Chewtle,284,50,64,50,38,38,44,
Drednaw,485,90,115,90,48,68,74,
Yamper,270,59,45,50,40,50,26,
Boltund,490,69,90,60,90,60,121,
Rolycoly,240,30,40,50,40,50,30,
Carkol,410,80,60,90,60,70,50,
Coalossal,510,110,80,120,80,90,30,
Applin,260,40,40,80,40,40,20,
Flapple,485,70,110,80,95,60,70,
Appletun,485,110,85,80,100,80,30,
Silicobra,315,52,57,75,35,50,46,
Sandaconda,510,72,107,125,65,70,71,
Cramorant,475,70,85,55,85,95,85,
Arrokuda,280,41,63,40,40,30,66,
Barraskewda,490,61,123,60,60,50,136,
Toxel,242,40,38,35,54,35,40,
Toxtricity,502,75,98,70,114,70,75,
Mega Toxtricity,502,75,98,70,114,70,75,
Sizzlipede,305,50,65,45,50,50,45,
Centiskorch,525,100,115,65,90,90,65,
Clobbopus,310,50,68,60,50,50,32,
Grapploct,480,80,118,90,70,80,42,
Sinistea,308,40,45,45,74,54,50,
Polteageist,508,60,65,65,134,114,70,
Hatenna,265,42,30,45,56,53,39,
Hattrem,370,57,40,65,86,73,49,
Hatterene,510,57,90,95,136,103,29,
Impidimp,265,45,45,30,55,40,50,
Morgrem,370,65,60,45,75,55,70,
Grimmsnarl,510,95,120,65,95,75,60,
Obstagoon,520,93,90,101,60,81,95,
Perrserker,440,70,110,100,50,60,50,
Cursola,510,60,95,50,145,130,30,
Sirfetch'd,507,62,135,95,68,82,65,
Mr. Rime,520,80,85,75,110,100,70,
Runerigus,483,58,95,145,50,105,30,
Milcery,270,45,40,40,50,61,34,
Alcremie,495,65,60,75,110,121,64,
Falinks,470,65,100,100,70,60,75,
Pincurchin,435,48,101,95,91,85,15,
Snom,185,30,25,35,45,30,20,
Frosmoth,475,70,65,60,125,90,65,
Stonjourner,470,100,125,135,20,20,70,
Eiscue,470,75,80,110,65,90,50,
Mega Eiscue,470,75,80,70,65,50,130,
Indeedee,475,60,65,55,105,95,95,
Mega Indeedee,475,70,55,65,95,105,85,
Morpeko,436,58,95,58,70,58,97,
Mega Morpeko,436,58,95,58,70,58,97,
Cufant,330,72,80,49,40,49,40,
Copperajah,500,122,130,69,80,69,30,
Dracozolt,505,90,100,90,80,70,75,
Arctozolt,505,90,100,90,90,80,55,
Dracovish,505,90,90,100,70,80,75,
Arctovish,505,90,90,100,80,90,55,
Duraludon,535,70,95,115,120,50,85,
Dreepy,270,28,60,30,40,30,82,
Drakloak,410,68,80,50,60,50,102,
Dragapult,600,88,120,75,100,75,142,
Zacian,720,92,170,115,80,115,148,
Mega Zacian,670,92,130,115,80,115,138,
Zamazenta,720,92,130,145,80,145,128,
Mega Zamazenta,670,92,130,115,80,115,138,
Eternatus,690,140,85,95,145,95,130,
Mega Eternatus,1125,255,115,250,125,250,130,
Kubfu,385,60,90,60,53,50,72,
Urshifu,550,100,130,100,63,60,97,
Mega Urshifu,550,100,130,100,63,60,97,
Zarude,600,105,120,105,70,95,105,
Regieleki,580,80,100,50,100,50,200,
Regidrago,580,200,100,50,100,50,80,
Glastrier,580,100,145,130,65,110,30,
Spectrier,580,100,65,60,145,80,130,
Calyrex,500,100,80,80,80,80,80,
Mega Calyrex,680,100,165,150,85,130,50,
Mega Calyrex X,680,100,85,80,165,100,150,
